Codigo	Latitude	Longitude	Tipo
157003	-1.1006	-57.0569	2
158000	-1.6406	-58.5189	2
158001	-1.0333	-58.6833	2
158002	-1.6678	-58.5381	2
158003	-1.9328	-58.2558	2
158004	-1.6833	-58.5333	2
159000	-1.9381	-59.4833	2
159001	-1.9494	-59.4767	2
159002	-1.21	-59.5839	2
159004	-1.5475	-59.415	2
159005	-1.0781	-59.6739	2
159006	-0.9911	-59.4797	2
160000	-1.2989	-60.3997	2
160001	-1.2106	-60.2347	2
161000	-1.45	-61.6333	2
161001	-1.95	-61.3667	2
161002	-1.4589	-61.6331	2
161003	-1.7333	-61.9167	2
161004	-1.8325	-61.5983	2
162000	-1.3944	-61.9792	2
162001	-1.9833	-62.0667	2
162002	-1.8872	-62.4367	2
162003	-1.7108	-62.8236	2
163001	-1.6922	-63.7869	2
165000	-1.8611	-65.5906	2
165001	-1	-65	2
166000	-1.8211	-66.6	2
166001	-1.27	-66.1908	2
167000	-1.6333	-67.6667	2
167001	-1.7319	-67.5786	2
168000	-1.7667	-68.8333	2
169000	-1.3947	-69.4283	2
169001	-1	-69	2
169002	-1.7333	-69.1167	2
169003	-1.3833	-69.4167	2
169004	-1.2667	-69.7333	2
169005	-1.3	-69.6167	2
169006	-1.2167	-69.4667	2
170000	-1.35	-70.8	2
170001	-1.4	-70.6	2
170002	-1.5	-70.1833	2
170003	-1.55	-70.0333	2
171000	-1.1333	-71.1	2
172000	-1.4333	-72.75	2
173000	-1.8	-73.3167	2
173001	-1.2833	-73.6167	2
173002	-1.6167	-73.4833	2
173003	-1.7667	-73.2	2
174000	-1.0333	-74.1667	2
175000	-1.6	-75.2	2
177000	-1.5833	-77.9	2
177001	-1.1667	-77.85	2
177002	-1.05	-77.7833	2
177003	-1.8167	-77.9	2
177009	-1.7	-77.9	2
177010	-1.5075	-77.9439	2
177011	-1.6	-77.9167	2
178000	-1.0667	-78.4167	2
178001	-1.0167	-78.5833	2
178003	-1.2833	-78.6333	2
178004	-1.3	-78.5	2
178005	-1.4	-78.4167	2
178006	-1.6333	-78.6667	2
178007	-1.5	-78.05	2
178008	-1.9333	-78.7167	2
178009	-1.75	-78.6667	2
178011	-1.1667	-78.5333	2
178012	-1.25	-78.6167	2
178014	-1.6333	-78.6667	2
178015	-1.675	-78.6514	2
178016	-1.6583	-78.575	2
178017	-1.6333	-78.6167	2
178018	-1.5667	-78.4833	2
178019	-1.0489	-78.6883	2
178020	-1.3525	-78.615	2
178021	-1.0356	-78.4333	2
178022	-1.35	-78.3667	2
178023	-1.5833	-78.5667	2
178024	-1.3667	-78.6	2
178025	-1.0664	-78.6992	2
178026	-1.345	-78.6664	2
178027	-1.4036	-78.1911	2
178028	-1.3872	-78.5275	2
178029	-1.3303	-78.5569	2
178030	-1.3753	-78.6069	2
178031	-1.4831	-78.7103	2
178032	-1.6264	-78.7833	2
178033	-1.6847	-78.7631	2
178034	-1.0608	-78.7833	2
179001	-1.8	-79.55	2
179002	-1.1	-79.495	2
180001	-1.0342	-80.4594	2
239001	-2.9167	-39.9167	2
240000	-2.9	-40.8333	2
240001	-2.8833	-40.1167	2
240002	-2.9167	-40.8333	2
240004	-2.85	-40.5833	2
240005	-2.8833	-40.1333	2
240006	-2.8167	-40.4167	2
240007	-2.8833	-40.1167	2
240008	-2.8333	-40.22	2
240009	-2.8167	-40.2167	2
240010	-2.9333	-40.2667	2
240011	-2.9667	-40.9333	2
240012	-2.9333	-40.1833	2
240013	-2.9167	-40.4833	2
240014	-2.7833	-40.5167	2
240015	-2.9967	-40.5703	2
241000	-2.8833	-41.6667	2
241001	-2.9167	-41.7833	2
241002	-2.9167	-41.7833	2
241003	-2.9833	-41.0833	2
